id,name,shortName,image_url
5447a9cd4bdc2dbd208b4567,Colt M4A1 5.56x45 assault rifle,M4A1,https://assets.tarkov.dev/5447a9cd4bdc2dbd208b4567-512.webp
5447ac644bdc2d6c208b4567,5.56x45mm M855 ammo pack (50 pcs),M855,https://assets.tarkov.dev/5447ac644bdc2d6c208b4567-512.webp
5448ba0b4bdc2d02308b456c,Factory emergency exit key,Factory,https://assets.tarkov.dev/5448ba0b4bdc2d02308b456c-512.webp
5448bd6b4bdc2dfc2f8b4569,Makarov PM 9x18PM pistol,PM,https://assets.tarkov.dev/5448bd6b4bdc2dfc2f8b4569-512.webp
5448be9a4bdc2dfd2f8b456a,RGD-5 hand grenade,RGD-5,https://assets.tarkov.dev/5448be9a4bdc2dfd2f8b456a-512.webp
5448c12b4bdc2d02308b456f,PM 9x18PM 90-93 8-round magazine,PM,https://assets.tarkov.dev/5448c12b4bdc2d02308b456f-512.webp
5448c1d04bdc2dff2f8b4569,AR-15 5.56x45 Magpul PMAG 20 GEN M3 STANAG 20-round magazine,GEN M3,https://assets.tarkov.dev/5448c1d04bdc2dff2f8b4569-512.webp
5448fee04bdc2dbc018b4567,Bottle of water (0.6L),Water,https://assets.tarkov.dev/5448fee04bdc2dbc018b4567-512.webp
5448ff904bdc2d6f028b456e,Army crackers,Crackers,https://assets.tarkov.dev/5448ff904bdc2d6f028b456e-512.webp
5449016a4bdc2d6f028b456f,Roubles,RUB,https://assets.tarkov.dev/5449016a4bdc2d6f028b456f-512.webp
544909bb4bdc2d6f028b4577,L3Harris AN/PEQ-15 tactical device,AN/PEQ-15,https://assets.tarkov.dev/544909bb4bdc2d6f028b4577-512.webp
54491bb74bdc2d09088b4567,ER FULCRUM BAYONET,ER BAYONET,https://assets.tarkov.dev/54491bb74bdc2d09088b4567-512.webp
54491c4f4bdc2db1078b4568,MP-133 12ga pump-action shotgun,MP-133,https://assets.tarkov.dev/54491c4f4bdc2db1078b4568-512.webp
544a11ac4bdc2d470e8b456a,Secure container Alpha,Alpha,https://assets.tarkov.dev/544a11ac4bdc2d470e8b456a-512.webp
544a378f4bdc2d30388b4567,AR-15 5.56x45 Magpul PMAG 40 GEN M3 STANAG 40-round magazine,GEN M3,https://assets.tarkov.dev/544a378f4bdc2d30388b4567-512.webp
544a37c44bdc2d25388b4567,AR-15 5.56x45 SureFire MAG5-60 STANAG 60-round magazine,MAG5-60,https://assets.tarkov.dev/544a37c44bdc2d25388b4567-512.webp
544a38634bdc2d58388b4568,AR-15 Colt USGI A2 5.56x45 flash hider,USGI A2,https://assets.tarkov.dev/544a38634bdc2d58388b4568-512.webp
544a3a774bdc2d3a388b4567,Leupold Mark 4 HAMR 4x24 DeltaPoint hybrid assault scope,HAMR,https://assets.tarkov.dev/544a3a774bdc2d3a388b4567-512.webp
544a5caa4bdc2d1a388b4568,Crye Precision AVS plate carrier (Ranger Green),AVS,https://assets.tarkov.dev/544a5caa4bdc2d1a388b4568-512.webp
544a5cde4bdc2d39388b456b,Flyye MBSS backpack (UCP),MBSS,https://assets.tarkov.dev/544a5cde4bdc2d39388b456b-512.webp
544fb25a4bdc2dfb738b4567,Aseptic bandage,Bandage,https://assets.tarkov.dev/544fb25a4bdc2dfb738b4567-512.webp
544fb3364bdc2d34748b456a,Immobilizing splint,Splint,https://assets.tarkov.dev/544fb3364bdc2d34748b456a-512.webp
544fb37f4bdc2dee738b4567,Analgin painkillers,Analgin,https://assets.tarkov.dev/544fb37f4bdc2dee738b4567-512.webp
544fb3f34bdc2d03748b456a,Morphine injector,Morphine,https://assets.tarkov.dev/544fb3f34bdc2d03748b456a-512.webp
544fb45d4bdc2dee738b4568,Salewa first aid kit,Salewa,https://assets.tarkov.dev/544fb45d4bdc2dee738b4568-512.webp
544fb5454bdc2df8738b456a,Leatherman Multitool,MultiTool,https://assets.tarkov.dev/544fb5454bdc2df8738b456a-512.webp
544fb62a4bdc2dfb738b4568,Pack of Russian Army pineapple juice,Pineapple,https://assets.tarkov.dev/544fb62a4bdc2dfb738b4568-512.webp
544fb6cc4bdc2d34748b456e,Slickers chocolate bar,Slickers,https://assets.tarkov.dev/544fb6cc4bdc2d34748b456e-512.webp
54527a984bdc2d4e668b4567,5.56x45mm M855,M855,https://assets.tarkov.dev/54527a984bdc2d4e668b4567-512.webp
54527ac44bdc2d36668b4567,5.56x45mm M855A1,M855A1,https://assets.tarkov.dev/54527ac44bdc2d36668b4567-512.webp
545cdae64bdc2d39198b4568,Camelbak Tri-Zip assault backpack (Foliage),Tri-Zip,https://assets.tarkov.dev/545cdae64bdc2d39198b4568-512.webp
545cdb794bdc2d3a198b456a,6B43 Zabralo-Sh body armor (EMR),6B43,https://assets.tarkov.dev/545cdb794bdc2d3a198b456a-512.webp
557ff21e4bdc2d89578b4586,Tactical glasses,TGlasses,https://assets.tarkov.dev/557ff21e4bdc2d89578b4586-512.webp
5580169d4bdc2d9d138b4585,MP-43-1C 12ga 510mm barrel,MP-43 510mm,https://assets.tarkov.dev/5580169d4bdc2d9d138b4585-512.webp
55801eed4bdc2d89578b4588,SV-98 7.62x54R bolt-action sniper rifle,SV-98,https://assets.tarkov.dev/55801eed4bdc2d89578b4588-512.webp
5580223e4bdc2d1c128b457f,MP-43-1C 12ga double-barrel shotgun,MP-43-1C,https://assets.tarkov.dev/5580223e4bdc2d1c128b457f-512.webp
558022b54bdc2dac148b458d,EOTech EXPS3-0 holographic sight (Tan),EXPS3-0,https://assets.tarkov.dev/558022b54bdc2dac148b458d-512.webp
55802d5f4bdc2dac148b458e,AR-15 5.56x45 Magpul PMAG 30 GEN M3 W STANAG 30-round magazine,GEN M3,https://assets.tarkov.dev/55802d5f4bdc2dac148b458e-512.webp
55802f5d4bdc2dac148b458f,AR-15 Magpul MOE pistol grip (Black),MOE AR15,https://assets.tarkov.dev/55802f5d4bdc2dac148b458f-512.webp
558032614bdc2de7118b4585,TangoDown Stubby BGV-MK46K foregrip (Black),MK46K,https://assets.tarkov.dev/558032614bdc2de7118b4585-512.webp
559ba5b34bdc2d1f1a8b4582,SV-98 7.62x54R 10-round magazine,SV-98,https://assets.tarkov.dev/559ba5b34bdc2d1f1a8b4582-512.webp
55d355e64bdc2d962f8b4569,M4A1 5.56x45 upper receiver,M4A1,https://assets.tarkov.dev/55d355e64bdc2d962f8b4569-512.webp
55d35ee94bdc2d61338b4568,AR-15 5.56x45 10.3 inch barrel,"AR-15 10.3""",https://assets.tarkov.dev/55d35ee94bdc2d61338b4568-512.webp
55d3632e4bdc2d972f8b4569,AR-15 5.56x45 14.5 inch barrel,"AR-15 14.5""",https://assets.tarkov.dev/55d3632e4bdc2d972f8b4569-512.webp
55d447bb4bdc2d892f8b456f,MP-43-1C 12ga 725mm barrel,MP-43 725mm,https://assets.tarkov.dev/55d447bb4bdc2d892f8b456f-512.webp
55d448594bdc2d8c2f8b4569,MP-133 12ga 610mm barrel,MP133 610mm,https://assets.tarkov.dev/55d448594bdc2d8c2f8b4569-512.webp
55d4491a4bdc2d882f8b456e,MP-133 12ga 510mm barrel,MP133 510mm,https://assets.tarkov.dev/55d4491a4bdc2d882f8b456e-512.webp
55d449444bdc2d962f8b456d,MP-133 12ga 610mm barrel with rib,MP133 610mm rib,https://assets.tarkov.dev/55d449444bdc2d962f8b456d-512.webp
55d44fd14bdc2d962f8b456e,AR-15 Colt charging handle,AR-15,https://assets.tarkov.dev/55d44fd14bdc2d962f8b456e-512.webp
55d459824bdc2d892f8b4573,AR-15 KAC RIS handguard,KAC RIS,https://assets.tarkov.dev/55d459824bdc2d892f8b4573-512.webp
55d45d3f4bdc2d972f8b456c,MP-133 beechwood forestock,MP133 beech,https://assets.tarkov.dev/55d45d3f4bdc2d972f8b456c-512.webp
55d45f484bdc2d972f8b456d,MP-133 custom plastic forestock with rails,MP133 rails,https://assets.tarkov.dev/55d45f484bdc2d972f8b456d-512.webp
55d480c04bdc2d1d4e8b456a,AK-74 5.45x39 6L23 30-round magazine,6L23,https://assets.tarkov.dev/55d480c04bdc2d1d4e8b456a-512.webp
55d481904bdc2d8c2f8b456a,AK-74 5.45x39 6L26 45-round magazine,6L26,https://assets.tarkov.dev/55d481904bdc2d8c2f8b456a-512.webp
55d482194bdc2d1d4e8b456b,AK-74 5.45x39 6L31 60-round magazine,6L31,https://assets.tarkov.dev/55d482194bdc2d1d4e8b456b-512.webp
55d4837c4bdc2d1d4e8b456c,"AK-74 ""Saiga 545"" 5.45x39 10-round magazine",Saiga 545,https://assets.tarkov.dev/55d4837c4bdc2d1d4e8b456c-512.webp
55d484b44bdc2d1d4e8b456d,MP-133 12ga 6-shell magazine,MP-133x6,https://assets.tarkov.dev/55d484b44bdc2d1d4e8b456d-512.webp
55d485804bdc2d8c2f8b456b,MP-133 12ga 8-shell magazine,MP-133x8,https://assets.tarkov.dev/55d485804bdc2d8c2f8b456b-512.webp
55d485be4bdc2d962f8b456f,PM 9x18PM 84-round makeshift drum magazine,PM drum,https://assets.tarkov.dev/55d485be4bdc2d962f8b456f-512.webp
55d4887d4bdc2d962f8b4570,AR-15 5.56x45 Colt STANAG 30-round magazine,STANAG,https://assets.tarkov.dev/55d4887d4bdc2d962f8b4570-512.webp
55d48a634bdc2d8b2f8b456a,Kiba Arms SPRM rail mount for pump-action shotguns,SPRM,https://assets.tarkov.dev/55d48a634bdc2d8b2f8b456a-512.webp
55d48ebc4bdc2d8c2f8b456c,Delta-Tek Sprut mount for pump-action shotguns,Sprut,https://assets.tarkov.dev/55d48ebc4bdc2d8c2f8b456c-512.webp
55d4ae6c4bdc2d8b2f8b456e,AR-15 High Standard M4SS Stock,M4SS,https://assets.tarkov.dev/55d4ae6c4bdc2d8b2f8b456e-512.webp
55d4af3a4bdc2d972f8b456f,AR-15 Leapers UTG Low Profile A2 front sight,LPA2 FS,https://assets.tarkov.dev/55d4af3a4bdc2d972f8b456f-512.webp
55d4b9964bdc2d1d4e8b456e,AR-15 Colt A2 pistol grip,A2,https://assets.tarkov.dev/55d4b9964bdc2d1d4e8b456e-512.webp
55d5f46a4bdc2d1b198b4567,AR-15 Colt A2 rear sight,A2 RS,https://assets.tarkov.dev/55d5f46a4bdc2d1b198b4567-512.webp
55d614004bdc2d86028b4568,SureFire SOCOM556-MONSTER 5.56x45 sound suppressor,556-MONSTER,https://assets.tarkov.dev/55d614004bdc2d86028b4568-512.webp
55d6190f4bdc2d87028b4567,SureFire SOCOM556-MINI MONSTER 5.56x45 sound suppressor,556-MINI,https://assets.tarkov.dev/55d6190f4bdc2d87028b4567-512.webp
55f84c3c4bdc2d5f408b4576,AR-15 Daniel Defense RIS II 9.5 handguard (Coyote Brown),RIS II 9.5,https://assets.tarkov.dev/55f84c3c4bdc2d5f408b4576-512.webp
560835c74bdc2dc8488b456f,MP-133 12ga 510mm barrel with rib,MP133 510mm rib,https://assets.tarkov.dev/560835c74bdc2dc8488b456f-512.webp
560836484bdc2d20478b456e,MP-133 12ga 540mm barrel,MP133 540mm,https://assets.tarkov.dev/560836484bdc2d20478b456e-512.webp
560836b64bdc2d57468b4567,MP-133 12ga 540mm barrel with rib,MP133 540mm rib,https://assets.tarkov.dev/560836b64bdc2d57468b4567-512.webp
560836fb4bdc2d773f8b4569,MP-133 12ga 660mm barrel,MP133 660mm,https://assets.tarkov.dev/560836fb4bdc2d773f8b4569-512.webp
560837154bdc2da74d8b4568,MP-133 12ga 660mm barrel with rib,MP133 660mm rib,https://assets.tarkov.dev/560837154bdc2da74d8b4568-512.webp
5608373c4bdc2dc8488b4570,MP-133 12ga 710mm barrel,MP133 710mm,https://assets.tarkov.dev/5608373c4bdc2dc8488b4570-512.webp
560837544bdc2de22e8b456e,MP-133 12ga 710mm barrel with rib,MP133 710mm rib,https://assets.tarkov.dev/560837544bdc2de22e8b456e-512.webp
560837824bdc2d57468b4568,MP-133 12ga 750mm barrel,MP133 750mm,https://assets.tarkov.dev/560837824bdc2d57468b4568-512.webp
5608379a4bdc2d26448b4569,MP-133 12ga 750mm barrel with rib,MP133 750mm rib,https://assets.tarkov.dev/5608379a4bdc2d26448b4569-512.webp
560838c94bdc2d77798b4569,Remington Tactical Choke 12ga,RTC 12ga,https://assets.tarkov.dev/560838c94bdc2d77798b4569-512.webp
56083a334bdc2dc8488b4571,MP-133/153 plastic pistol grip,133/153,https://assets.tarkov.dev/56083a334bdc2dc8488b4571-512.webp
56083be64bdc2d20478b456f,MP-133/153 plastic stock,133/153 plastic,https://assets.tarkov.dev/56083be64bdc2d20478b456f-512.webp
56083cba4bdc2de22e8b456f,MP-133/153 wooden stock,133/153 wood,https://assets.tarkov.dev/56083cba4bdc2de22e8b456f-512.webp
56083e1b4bdc2dc8488b4572,SV-98 rear sight,SV98 RS,https://assets.tarkov.dev/56083e1b4bdc2dc8488b4572-512.webp
56083eab4bdc2d26448b456a,SV-98 anti-heat ribbon,SV98 HR,https://assets.tarkov.dev/56083eab4bdc2d26448b456a-512.webp
560d5e524bdc2d25448b4571,12/70 7mm buckshot,7mm,https://assets.tarkov.dev/560d5e524bdc2d25448b4571-512.webp
560d61e84bdc2da74d8b4571,7.62x54mm R SNB gzh,SNB,https://assets.tarkov.dev/560d61e84bdc2da74d8b4571-512.webp
560d657b4bdc2da74d8b4572,Zenit Klesch-2P flashlight with laser,Klesch-2P,https://assets.tarkov.dev/560d657b4bdc2da74d8b4572-512.webp
560d75f54bdc2da74d8b4573,7.62x54mm R SNB gzh ammo pack (20 pcs),SNB,https://assets.tarkov.dev/560d75f54bdc2da74d8b4573-512.webp
560e620e4bdc2d724b8b456b,SV-98 7.62x54R muzzle device,SV98 MD,https://assets.tarkov.dev/560e620e4bdc2d724b8b456b-512.webp
5644bd2b4bdc2d3b4c8b4572,Kalashnikov AK-74N 5.45x39 assault rifle,AK-74N,https://assets.tarkov.dev/5644bd2b4bdc2d3b4c8b4572-512.webp
5645bc214bdc2d363b8b4571,FORT Kiver-M bulletproof helmet,Kiver-M,https://assets.tarkov.dev/5645bc214bdc2d363b8b4571-512.webp
5645bcc04bdc2d363b8b4572,Peltor ComTac II headset (OD Green),ComTac II,https://assets.tarkov.dev/5645bcc04bdc2d363b8b4572-512.webp
5648a69d4bdc2ded0b8b457b,BlackRock chest rig (Gray),BlackRock,https://assets.tarkov.dev/5648a69d4bdc2ded0b8b457b-512.webp
5648a7494bdc2d9d488b4583,PACA Soft Armor,PACA,https://assets.tarkov.dev/5648a7494bdc2d9d488b4583-512.webp
5648ac824bdc2ded0b8b457d,AK Zenit RP-1 charging handle,RP-1,https://assets.tarkov.dev/5648ac824bdc2ded0b8b457d-512.webp
5648ae314bdc2d3d1c8b457f,AK CAA RS47 handguard,RS47,https://assets.tarkov.dev/5648ae314bdc2d3d1c8b457f-512.webp
5648b0744bdc2d363b8b4578,AK-74 wooden handguard,AK-74 wood,https://assets.tarkov.dev/5648b0744bdc2d363b8b4578-512.webp
5648b1504bdc2d9d488b4584,AK-74M polymer handguard,AK-74M,https://assets.tarkov.dev/5648b1504bdc2d9d488b4584-512.webp
5648b4534bdc2d3d1c8b4580,AK Zenit B-10M handguard with B-19 upper mount,B10M+B19,https://assets.tarkov.dev/5648b4534bdc2d3d1c8b4580-512.webp
5649a2464bdc2d91118b45a8,NcSTAR MPR45 Backup mount,MPR45,https://assets.tarkov.dev/5649a2464bdc2d91118b45a8-512.webp
5649aa744bdc2ded0b8b457e,AK-74 5.45x39 muzzle brake-compensator,AK-74,https://assets.tarkov.dev/5649aa744bdc2ded0b8b457e-512.webp
5649ab884bdc2ded0b8b457f,AK Zenit DTK-1 7.62x39/5.45x39 muzzle brake-compensator,DTK-1,https://assets.tarkov.dev/5649ab884bdc2ded0b8b457f-512.webp
5649ad3f4bdc2df8348b4585,AK-74 bakelite pistol grip,AK-74 bak.,https://assets.tarkov.dev/5649ad3f4bdc2df8348b4585-512.webp
5649ade84bdc2d1b2b8b4587,AK-74 polymer pistol grip,AK-74 poly,https://assets.tarkov.dev/5649ade84bdc2d1b2b8b4587-512.webp
5649ae4a4bdc2d1b2b8b4588,AK Zenit RK-3 pistol grip,RK-3,https://assets.tarkov.dev/5649ae4a4bdc2d1b2b8b4588-512.webp
5649af094bdc2df8348b4586,AK-74 dust cover,AK-74 DC,https://assets.tarkov.dev/5649af094bdc2df8348b4586-512.webp
5649af884bdc2d1b2b8b4589,AK Zenit B-33 dust cover,B-33,https://assets.tarkov.dev/5649af884bdc2d1b2b8b4589-512.webp
5649b0544bdc2d1b2b8b458a,AK-74 rear sight,AK-74 RS,https://assets.tarkov.dev/5649b0544bdc2d1b2b8b458a-512.webp
5649b0fc4bdc2d17108b4588,AK-74 polymer stock,AK-74 poly,https://assets.tarkov.dev/5649b0fc4bdc2d17108b4588-512.webp
5649b1c04bdc2d16268b457c,AK-74 wooden stock,AK-74 wood,https://assets.tarkov.dev/5649b1c04bdc2d16268b457c-512.webp
5649b2314bdc2d79388b4576,AKM/AK-74 ME4 buffer tube adapter,ME4,https://assets.tarkov.dev/5649b2314bdc2d79388b4576-512.webp
5649be884bdc2d79388b4577,AR-15 Colt Carbine buffer tube,Carbine,https://assets.tarkov.dev/5649be884bdc2d79388b4577-512.webp
5649d9a14bdc2d79388b4580,AK Taktika Tula TT01 rear sight rail,TT01,https://assets.tarkov.dev/5649d9a14bdc2d79388b4580-512.webp
5649ed104bdc2d3d1c8b458b,7.62x39mm PS gzh ammo pack (20 pcs),PS,https://assets.tarkov.dev/5649ed104bdc2d3d1c8b458b-512.webp
564ca99c4bdc2d16268b4589,AK-74 5.45x39 6L20 30-round magazine,6L20,https://assets.tarkov.dev/564ca99c4bdc2d16268b4589-512.webp
564ca9df4bdc2d35148b4569,AK-74 5.45x39 6L18 45-round magazine,6L18,https://assets.tarkov.dev/564ca9df4bdc2d35148b4569-512.webp
564caa3d4bdc2d17108b458e,AK-74 TGP-A 5.45x39 sound suppressor,TGP-A,https://assets.tarkov.dev/564caa3d4bdc2d17108b458e-512.webp
5656d7c34bdc2d9d198b4587,7.62x39mm PS gzh,PS,https://assets.tarkov.dev/5656d7c34bdc2d9d198b4587-512.webp
5656eb674bdc2d35148b457c,40mm VOG-25 grenade,VOG-25,https://assets.tarkov.dev/5656eb674bdc2d35148b457c-512.webp
567143bf4bdc2d1a0f8b4567,Pistol case,Pistols,https://assets.tarkov.dev/567143bf4bdc2d1a0f8b4567-512.webp
5671446a4bdc2d97058b4569,Pistol case key,PCase,https://assets.tarkov.dev/5671446a4bdc2d97058b4569-512.webp
5672c92d4bdc2d180f8b4567,Dorm room 118 key,Dorm 118,https://assets.tarkov.dev/5672c92d4bdc2d180f8b4567-512.webp
5672cb124bdc2d1a0f8b4568,AA Battery,AA batt.,https://assets.tarkov.dev/5672cb124bdc2d1a0f8b4568-512.webp
5672cb304bdc2dc2088b456a,D Size battery,D batt.,https://assets.tarkov.dev/5672cb304bdc2dc2088b456a-512.webp
5672cb724bdc2dc2088b456b,Geiger-Muller counter,GMcount,https://assets.tarkov.dev/5672cb724bdc2dc2088b456b-512.webp
5673de654bdc2d180f8b456d,Can of pacific saury,Saury,https://assets.tarkov.dev/5673de654bdc2d180f8b456d-512.webp
56742c284bdc2d98058b456d,Crickent lighter,Crickent,https://assets.tarkov.dev/56742c284bdc2d98058b456d-512.webp
56742c2e4bdc2d95058b456d,Zibbo lighter,Zibbo,https://assets.tarkov.dev/56742c2e4bdc2d95058b456d-512.webp
56742c324bdc2d150f8b456d,Broken GPhone smartphone,GPhone,https://assets.tarkov.dev/56742c324bdc2d150f8b456d-512.webp
5696686a4bdc2da3298b456a,Dollars,USD,https://assets.tarkov.dev/5696686a4bdc2da3298b456a-512.webp
569668774bdc2da2298b4568,Euros,EUR,https://assets.tarkov.dev/569668774bdc2da2298b4568-512.webp
56d59856d2720bd8418b456a,SIG P226R 9x19 pistol,P226R,https://assets.tarkov.dev/56d59856d2720bd8418b456a-512.webp
56d59948d2720bb7418b4582,P226 9x19 15-round magazine,P226,https://assets.tarkov.dev/56d59948d2720bb7418b4582-512.webp
56d59d3ad2720bdb418b4577,9x19mm Pst gzh,Pst,https://assets.tarkov.dev/56d59d3ad2720bdb418b4577-512.webp
56d5a1f7d2720bb3418b456a,P226 9x19 112mm barrel,P226 112mm,https://assets.tarkov.dev/56d5a1f7d2720bb3418b456a-512.webp
56d5a2bbd2720bb8418b456a,P226 polymer pistol grip (Black),P226 blk,https://assets.tarkov.dev/56d5a2bbd2720bb8418b456a-512.webp
56d5a407d2720bb3418b456b,P226R MK25 pistol slide,P226R,https://assets.tarkov.dev/56d5a407d2720bb3418b456b-512.webp
56d5a661d2720bd8418b456b,P226 front sight,P226 FS,https://assets.tarkov.dev/56d5a661d2720bd8418b456b-512.webp
56d5a77ed2720b90418b4568,P226 rear sight,P226 RS,https://assets.tarkov.dev/56d5a77ed2720b90418b4568-512.webp
56dee2bdd2720bc8328b4567,MP-153 12ga semi-automatic shotgun,MP-153,https://assets.tarkov.dev/56dee2bdd2720bc8328b4567-512.webp
56deec93d2720bec348b4568,MP-153 12ga 750mm barrel,MP153 750mm,https://assets.tarkov.dev/56deec93d2720bec348b4568-512.webp
56deed6ed2720b4c698b4583,MP-153 polymer forestock,MP153 Poly,https://assets.tarkov.dev/56deed6ed2720b4c698b4583-512.webp
56deee15d2720bee328b4567,MP-153 12ga 4-shell magazine cap,MP153x4,https://assets.tarkov.dev/56deee15d2720bee328b4567-512.webp
56deeefcd2720bc8328b4568,MP-153 12ga 8-shell magazine,MP153x8,https://assets.tarkov.dev/56deeefcd2720bc8328b4568-512.webp
56def37dd2720bec348b456a,SureFire X400 Ultra tactical flashlight with laser,X400U,https://assets.tarkov.dev/56def37dd2720bec348b456a-512.webp
56dfef82d2720bbd668b4567,5.45x39mm BP gs,BP,https://assets.tarkov.dev/56dfef82d2720bbd668b4567-512.webp
56dff026d2720bb8668b4567,5.45x39mm BS gs,BS,https://assets.tarkov.dev/56dff026d2720bb8668b4567-512.webp
56dff061d2720bb5668b4567,5.45x39mm BT gs,BT,https://assets.tarkov.dev/56dff061d2720bb5668b4567-512.webp
56dff0bed2720bb0668b4567,5.45x39mm FMJ,FMJ,https://assets.tarkov.dev/56dff0bed2720bb0668b4567-512.webp
56dff216d2720bbd668b4568,5.45x39mm HP,HP,https://assets.tarkov.dev/56dff216d2720bbd668b4568-512.webp
56dff2ced2720bb4668b4567,5.45x39mm PP gs,PP,https://assets.tarkov.dev/56dff2ced2720bb4668b4567-512.webp
56dff338d2720bbd668b4569,5.45x39mm PRS gs,PRS,https://assets.tarkov.dev/56dff338d2720bbd668b4569-512.webp
56dff3afd2720bba668b4567,5.45x39mm PS gs,PS,https://assets.tarkov.dev/56dff3afd2720bba668b4567-512.webp
56dff421d2720b5f5a8b4567,5.45x39mm SP,SP,https://assets.tarkov.dev/56dff421d2720b5f5a8b4567-512.webp
56dff4a2d2720bbd668b456a,5.45x39mm T gs,T,https://assets.tarkov.dev/56dff4a2d2720bbd668b456a-512.webp
56dff4ecd2720b5f5a8b4568,5.45x39mm US gs,US,https://assets.tarkov.dev/56dff4ecd2720b5f5a8b4568-512.webp
56e0598dd2720bb5668b45a6,PB 9x18PM silenced pistol,PB,https://assets.tarkov.dev/56e0598dd2720bb5668b45a6-512.webp
56e05a6ed2720bd0748b4567,PB bakelite side grips,PB bak.,https://assets.tarkov.dev/56e05a6ed2720bd0748b4567-512.webp
56e05b06d2720bb2668b4586,PB 9x18PM sound suppressor,PB supp.,https://assets.tarkov.dev/56e05b06d2720bb2668b4586-512.webp
56e335e4d2720b6c058b456d,Scav backpack,ScavBP,https://assets.tarkov.dev/56e335e4d2720b6c058b456d-512.webp
56e33634d2720bd8058b456b,Duffle bag,Duffle,https://assets.tarkov.dev/56e33634d2720bd8058b456b-512.webp
56e33680d2720be2748b4576,Transformer Bag,T-Bag,https://assets.tarkov.dev/56e33680d2720be2748b4576-512.webp
56ea6fafd2720b844b8b4593,AR-15 Noveske KX3 5.56x45 flash hider,KX3 556,https://assets.tarkov.dev/56ea6fafd2720b844b8b4593-512.webp
56ea70acd2720b844b8b4594,Hensoldt FF 4-16x56 34mm riflescope,FF 4-16,https://assets.tarkov.dev/56ea70acd2720b844b8b4594-512.webp
56ea7165d2720b6e518b4583,AR-15 Badger Ordnance Tactical Charging Handle Latch,BOTL,https://assets.tarkov.dev/56ea7165d2720b6e518b4583-512.webp
56ea7293d2720b8d4b8b45ba,P226 Sight Mount 220-239 rear sight bearing,SM220-239,https://assets.tarkov.dev/56ea7293d2720b8d4b8b45ba-512.webp
